peg_id,Amplicon,Reads_in_input,Reads_aligned_all_amplicons,Reads_aligned,Unmodified,Modified,Discarded,Insertions,Deletions,Substitutions,Only Insertions,Only Deletions,Only Substitutions,Insertions and Deletions,Insertions and Substitutions,Deletions and Substitutions,Insertions Deletions and Substitutions
peg_0,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_0,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_1,Reference,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_1,HDR,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_2,Reference,916,895,692,640,52,0,0,0,52,0,0,52,0,0,0,0
peg_2,HDR,916,895,202,193,9,0,1,1,8,1,0,7,0,0,1,0
peg_3,Reference,964,926,802,758,44,0,0,1,43,0,1,43,0,0,0,0
peg_3,HDR,964,926,124,118,6,0,0,1,5,0,1,5,0,0,0,0
peg_4,Reference,566,566,561,548,13,0,0,0,13,0,0,13,0,0,0,0
peg_4,HDR,566,566,4,4,0,0,0,0,0,0,0,0,0,0,0,0
peg_5,Reference,2484,2480,1991,1650,341,0,250,243,103,5,2,88,231,5,1,9
peg_5,HDR,2484,2480,484,437,47,0,2,9,36,2,9,36,0,0,0,0
peg_6,Reference,610,609,571,527,44,0,0,0,44,0,0,44,0,0,0,0
peg_6,HDR,610,609,35,33,2,0,0,0,2,0,0,2,0,0,0,0
peg_7,Reference,896,895,859,774,85,0,5,1,82,2,1,79,0,3,0,0
peg_7,HDR,896,895,34,32,2,0,0,0,2,0,0,2,0,0,0,0
peg_8,Reference,2,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0
peg_8,HDR,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_9,Reference,13,9,6,0,6,0,0,2,6,0,0,4,0,0,2,0
peg_9,HDR,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_10,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_10,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_11,Reference,1628,1603,1487,922,565,0,462,5,528,33,4,99,0,428,0,1
peg_11,HDR,1628,1603,89,52,37,0,3,31,32,3,2,3,0,0,29,0
peg_12,Reference,2054,2043,1845,1755,90,0,3,8,81,2,7,80,0,0,0,1
peg_12,HDR,2054,2043,197,184,13,0,1,1,13,0,0,11,0,1,1,0
peg_13,Reference,857,857,819,773,46,0,0,3,43,0,3,43,0,0,0,0
peg_13,HDR,857,857,31,28,3,0,0,0,3,0,0,3,0,0,0,0
peg_14,Reference,837,837,813,773,40,0,0,4,36,0,4,36,0,0,0,0
peg_14,HDR,837,837,24,20,4,0,0,0,4,0,0,4,0,0,0,0
peg_15,Reference,3412,3408,3191,2809,382,0,5,14,369,4,9,363,0,1,5,0
peg_15,HDR,3412,3408,207,196,11,0,0,1,11,0,0,10,0,0,1,0
peg_16,Reference,23,23,23,22,1,0,0,0,1,0,0,1,0,0,0,0
peg_16,HDR,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_17,Reference,223,223,178,162,16,0,0,1,15,0,1,15,0,0,0,0
peg_17,HDR,223,223,45,8,37,0,0,0,37,0,0,37,0,0,0,0
peg_18,Reference,2454,2378,2106,47,2059,0,1,50,2018,1,40,2008,0,0,10,0
peg_18,HDR,2454,2378,249,5,244,0,0,1,244,0,0,243,0,0,1,0
peg_19,Reference,249,238,226,199,27,0,1,6,20,1,6,20,0,0,0,0
peg_19,HDR,249,238,9,5,4,0,0,0,4,0,0,4,0,0,0,0
peg_20,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_20,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_21,Reference,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_21,HDR,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_22,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_22,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_23,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_23,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_24,Reference,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_24,HDR,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_25,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_25,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_26,Reference,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_26,HDR,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_27,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_27,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_28,Reference,9,6,6,0,6,0,0,6,0,0,6,0,0,0,0,0
peg_28,HDR,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_29,Reference,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_29,HDR,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_30,Reference,2822,1370,47,0,47,0,21,29,36,3,6,1,2,14,19,2
peg_30,HDR,2822,1370,99,16,83,0,13,19,79,2,2,51,0,11,17,0
peg_31,Reference,506,181,22,1,21,0,3,8,19,0,1,12,1,1,5,1
peg_31,HDR,506,181,38,21,17,0,9,4,8,7,2,4,0,2,2,0
peg_32,Reference,636,405,54,0,54,0,22,26,34,0,16,10,4,18,6,0
peg_32,HDR,636,405,5,5,0,0,0,0,0,0,0,0,0,0,0,0
peg_33,Reference,97,35,2,0,2,0,1,0,2,0,0,1,0,1,0,0
peg_33,HDR,97,35,18,9,9,0,4,6,2,2,3,1,2,0,1,0
peg_34,Reference,574,517,487,264,223,0,2,4,217,2,4,217,0,0,0,0
peg_34,HDR,574,517,21,15,6,0,3,0,3,3,0,3,0,0,0,0
peg_35,Reference,1123,1061,1034,248,786,0,0,610,189,0,597,176,0,0,13,0
peg_35,HDR,1123,1061,24,22,2,0,2,0,0,2,0,0,0,0,0,0
peg_36,Reference,1538,929,670,411,259,0,3,13,248,3,8,243,0,0,5,0
peg_36,HDR,1538,929,210,202,8,0,0,0,8,0,0,8,0,0,0,0
peg_37,Reference,1415,628,38,0,38,0,3,27,22,0,16,9,0,2,10,1
peg_37,HDR,1415,628,217,3,214,0,49,50,168,2,1,158,43,4,6,0
peg_38,Reference,49,13,6,0,6,0,0,6,0,0,6,0,0,0,0,0
peg_38,HDR,49,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_39,Reference,1229,856,337,0,337,0,0,208,140,0,197,129,0,0,11,0
peg_39,HDR,1229,856,114,4,110,0,14,11,99,7,4,85,0,7,7,0
peg_40,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_40,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_41,Reference,4,3,3,0,3,0,0,3,3,0,0,0,0,0,3,0
peg_41,HDR,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_42,Reference,9716,9627,8293,6819,1474,0,9,54,1415,8,51,1411,0,1,3,0
peg_42,HDR,9716,9627,1223,1164,59,0,10,1,48,10,1,48,0,0,0,0
peg_43,Reference,7355,7279,6783,6408,375,0,18,48,318,16,41,309,0,2,7,0
peg_43,HDR,7355,7279,480,440,40,0,19,4,22,15,3,18,0,3,0,1
peg_44,Reference,3436,3411,3296,2326,970,0,0,9,962,0,8,961,0,0,1,0
peg_44,HDR,3436,3411,104,94,10,0,2,0,8,2,0,8,0,0,0,0
peg_45,Reference,7,7,1,0,1,0,0,1,0,0,1,0,0,0,0,0
peg_45,HDR,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_46,Reference,123,77,16,0,16,0,5,7,16,0,0,4,0,5,7,0
peg_46,HDR,123,77,5,3,2,0,2,0,2,0,0,0,0,2,0,0
peg_47,Reference,2869,1143,129,1,128,0,27,54,123,0,5,73,0,1,23,26
peg_47,HDR,2869,1143,319,18,301,0,91,199,239,5,1,74,56,23,135,7
peg_48,Reference,5897,5810,5320,4845,475,0,3,51,425,3,47,421,0,0,4,0
peg_48,HDR,5897,5810,422,408,14,0,1,1,12,1,1,12,0,0,0,0
peg_49,Reference,222,221,208,176,32,0,0,0,32,0,0,32,0,0,0,0
peg_49,HDR,222,221,8,8,0,0,0,0,0,0,0,0,0,0,0,0
peg_50,Reference,3162,3141,2813,2506,307,0,2,30,277,2,28,275,0,0,2,0
peg_50,HDR,3162,3141,118,116,2,0,0,0,2,0,0,2,0,0,0,0
peg_51,Reference,749,714,643,399,244,0,2,130,115,1,128,112,0,1,2,0
peg_51,HDR,749,714,43,37,6,0,4,0,3,3,0,2,0,1,0,0
peg_52,Reference,792,790,759,329,430,0,5,11,423,0,7,414,0,5,4,0
peg_52,HDR,792,790,18,15,3,0,0,0,3,0,0,3,0,0,0,0
peg_53,Reference,368,333,305,197,108,0,1,3,104,1,3,104,0,0,0,0
peg_53,HDR,368,333,7,5,2,0,0,0,2,0,0,2,0,0,0,0
peg_54,Reference,199,145,144,135,9,0,0,2,8,0,1,7,0,0,1,0
peg_54,HDR,199,145,1,1,0,0,0,0,0,0,0,0,0,0,0,0
peg_55,Reference,61,56,56,45,11,0,0,0,11,0,0,11,0,0,0,0
peg_55,HDR,61,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_56,Reference,105,61,58,44,14,0,0,9,8,0,6,5,0,0,3,0
peg_56,HDR,105,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_57,Reference,175,169,167,156,11,0,0,0,11,0,0,11,0,0,0,0
peg_57,HDR,175,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_58,Reference,398,371,369,177,192,0,2,179,21,1,169,12,1,0,9,0
peg_58,HDR,398,371,1,1,0,0,0,0,0,0,0,0,0,0,0,0
peg_59,Reference,84,82,82,70,12,0,0,6,6,0,6,6,0,0,0,0
peg_59,HDR,84,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_60,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_60,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_61,Reference,153,150,146,101,45,0,2,26,17,2,26,17,0,0,0,0
peg_61,HDR,153,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_62,Reference,454,412,411,372,39,0,2,17,23,0,16,20,0,2,1,0
peg_62,HDR,454,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_63,Reference,321,271,271,175,96,0,0,7,91,0,5,89,0,0,2,0
peg_63,HDR,321,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_64,Reference,504,486,483,438,45,0,1,5,40,0,5,39,0,1,0,0
peg_64,HDR,504,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_65,Reference,400,384,384,343,41,0,3,8,37,3,1,30,0,0,7,0
peg_65,HDR,400,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_66,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_66,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_67,Reference,820,819,815,778,37,0,1,5,35,0,2,31,0,1,3,0
peg_67,HDR,820,819,3,0,3,0,0,0,3,0,0,3,0,0,0,0
peg_68,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_68,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_69,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_69,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_70,Reference,359,313,308,205,103,0,0,23,96,0,7,80,0,0,16,0
peg_70,HDR,359,313,4,1,3,0,3,0,1,2,0,0,0,1,0,0
peg_71,Reference,554,542,542,344,198,0,0,55,171,0,27,143,0,0,28,0
peg_71,HDR,554,542,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_72,Reference,361,345,339,320,19,0,0,0,19,0,0,19,0,0,0,0
peg_72,HDR,361,345,6,1,5,0,0,0,5,0,0,5,0,0,0,0
peg_73,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_73,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_74,Reference,41,40,40,37,3,0,0,0,3,0,0,3,0,0,0,0
peg_74,HDR,41,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_75,Reference,420,419,418,360,58,0,2,34,23,1,34,22,0,1,0,0
peg_75,HDR,420,419,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_76,Reference,665,660,657,622,35,0,1,18,17,0,18,16,0,1,0,0
peg_76,HDR,665,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_77,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_77,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_78,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_78,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_79,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_79,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_80,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_80,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_81,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_81,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_82,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_82,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_83,Reference,261,256,255,230,25,0,0,3,22,0,3,22,0,0,0,0
peg_83,HDR,261,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_84,Reference,123,113,113,105,8,0,0,1,7,0,1,7,0,0,0,0
peg_84,HDR,123,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_85,Reference,304,291,288,260,28,0,2,4,23,2,3,22,0,0,1,0
peg_85,HDR,304,291,3,2,1,0,0,0,1,0,0,1,0,0,0,0
peg_86,Reference,59,39,37,30,7,0,0,3,4,0,3,4,0,0,0,0
peg_86,HDR,59,39,2,2,0,0,0,0,0,0,0,0,0,0,0,0
peg_87,Reference,150,103,93,81,12,0,0,3,10,0,2,9,0,0,1,0
peg_87,HDR,150,103,10,10,0,0,0,0,0,0,0,0,0,0,0,0
peg_88,Reference,211,191,189,139,50,0,0,6,45,0,5,44,0,0,1,0
peg_88,HDR,211,191,2,2,0,0,0,0,0,0,0,0,0,0,0,0
peg_89,Reference,108,103,101,90,11,0,0,3,8,0,3,8,0,0,0,0
peg_89,HDR,108,103,2,2,0,0,0,0,0,0,0,0,0,0,0,0
peg_90,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_90,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_91,Reference,201,182,182,174,8,0,1,6,2,0,6,1,0,1,0,0
peg_91,HDR,201,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_92,Reference,400,385,385,349,36,0,0,18,24,0,12,18,0,0,6,0
peg_92,HDR,400,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_93,Reference,821,795,776,718,58,0,9,3,46,9,3,46,0,0,0,0
peg_93,HDR,821,795,17,16,1,0,0,0,1,0,0,1,0,0,0,0
peg_94,Reference,417,361,341,117,224,0,1,216,18,0,206,7,0,1,10,0
peg_94,HDR,417,361,17,13,4,0,3,0,1,3,0,1,0,0,0,0
peg_95,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_95,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_96,Reference,340,323,313,247,66,0,0,21,46,0,20,45,0,0,1,0
peg_96,HDR,340,323,9,9,0,0,0,0,0,0,0,0,0,0,0,0
peg_97,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_97,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_98,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_98,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_99,Reference,851,813,802,743,59,0,3,16,41,3,15,40,0,0,1,0
peg_99,HDR,851,813,6,6,0,0,0,0,0,0,0,0,0,0,0,0
peg_100,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_100,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_101,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_101,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_102,Reference,878,241,224,155,69,0,3,24,47,1,19,44,2,0,3,0
peg_102,HDR,878,241,15,15,0,0,0,0,0,0,0,0,0,0,0,0
peg_103,Reference,372,367,355,328,27,0,2,5,23,2,2,20,0,0,3,0
peg_103,HDR,372,367,4,3,1,0,0,0,1,0,0,1,0,0,0,0
peg_104,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_104,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_105,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_105,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_106,Reference,816,780,759,335,424,0,3,334,106,2,316,87,0,1,18,0
peg_106,HDR,816,780,16,12,4,0,0,1,3,0,1,3,0,0,0,0
peg_107,Reference,784,772,771,716,55,0,6,3,47,5,3,46,0,1,0,0
peg_107,HDR,784,772,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_108,Reference,69,66,64,58,6,0,0,0,6,0,0,6,0,0,0,0
peg_108,HDR,69,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_109,Reference,372,360,360,334,26,0,3,6,17,3,6,17,0,0,0,0
peg_109,HDR,372,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_110,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_110,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_111,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_111,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_112,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_112,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_113,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_113,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_114,Reference,263,194,6,0,6,0,0,0,6,0,0,6,0,0,0,0
peg_114,HDR,263,194,75,51,24,0,11,6,19,4,1,7,0,7,5,0
peg_115,Reference,2983,2331,1707,1,1706,0,11,1696,87,5,1613,0,1,5,82,0
peg_115,HDR,2983,2331,357,165,192,0,30,130,158,18,14,34,2,10,114,0
peg_116,Reference,1648,1037,387,2,385,0,28,354,98,1,286,26,0,4,45,23
peg_116,HDR,1648,1037,295,168,127,0,83,22,57,56,14,26,0,23,4,4
peg_117,Reference,10841,1532,130,1,129,0,14,113,102,3,23,3,1,10,89,0
peg_117,HDR,10841,1532,357,48,309,0,47,20,294,8,7,242,0,39,13,0
peg_118,Reference,96,69,10,0,10,0,6,9,8,1,1,0,0,0,3,5
peg_118,HDR,96,69,37,20,17,0,4,8,10,1,6,6,0,2,1,1
peg_119,Reference,1967,886,247,1,246,0,17,51,234,5,7,184,0,6,38,6
peg_119,HDR,1967,886,349,120,229,0,42,20,209,15,3,172,2,22,12,3
peg_120,Reference,343,333,316,123,193,0,0,8,189,0,4,185,0,0,4,0
peg_120,HDR,343,333,4,4,0,0,0,0,0,0,0,0,0,0,0,0
peg_121,Reference,537,508,479,215,264,0,0,26,239,0,25,238,0,0,1,0
peg_121,HDR,537,508,2,0,2,0,0,2,0,0,2,0,0,0,0,0
peg_122,Reference,845,839,793,384,409,0,4,38,383,4,22,367,0,0,16,0
peg_122,HDR,845,839,4,1,3,0,2,0,1,2,0,1,0,0,0,0
peg_123,Reference,6583,6545,6525,5592,933,0,6,39,894,2,37,888,0,4,2,0
peg_123,HDR,6583,6545,5,5,0,0,0,0,0,0,0,0,0,0,0,0
peg_124,Reference,4046,4030,3971,3450,521,0,11,24,488,10,23,486,0,1,1,0
peg_124,HDR,4046,4030,50,46,4,0,2,0,3,1,0,2,0,1,0,0
peg_125,Reference,1513,1492,1475,910,565,0,0,9,560,0,5,556,0,0,4,0
peg_125,HDR,1513,1492,8,7,1,0,0,1,1,0,0,0,0,0,1,0
peg_126,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_126,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_127,Reference,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_127,HDR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_128,Reference,184,42,4,0,4,0,0,4,3,0,1,0,0,0,3,0
peg_128,HDR,184,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_129,Reference,14619,14495,13551,9440,4111,0,13,149,3976,7,128,3953,0,2,17,4
peg_129,HDR,14619,14495,82,78,4,0,0,0,4,0,0,4,0,0,0,0
peg_130,Reference,225,225,219,203,16,0,0,2,14,0,2,14,0,0,0,0
peg_130,HDR,225,225,3,3,0,0,0,0,0,0,0,0,0,0,0,0
peg_131,Reference,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0
peg_131,HDR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_132,Reference,5340,5325,5253,3609,1644,0,5,15,1632,3,9,1626,0,0,4,2
peg_132,HDR,5340,5325,56,49,7,0,0,0,7,0,0,7,0,0,0,0
peg_133,Reference,962,742,725,124,601,0,1,0,600,1,0,600,0,0,0,0
peg_133,HDR,962,742,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_134,Reference,272,271,269,190,79,0,0,1,79,0,0,78,0,0,1,0
peg_134,HDR,272,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_135,Reference,2487,2419,2381,1105,1276,0,9,116,1175,1,100,1151,0,8,16,0
peg_135,HDR,2487,2419,33,9,24,0,1,20,5,1,18,3,0,0,2,0
peg_136,Reference,3011,860,206,2,204,0,101,160,111,13,80,2,0,29,21,59
peg_136,HDR,3011,860,258,33,225,0,54,32,179,32,12,142,2,19,17,1
peg_137,Reference,76,59,17,0,17,0,1,11,15,1,1,5,0,0,10,0
peg_137,HDR,76,59,27,22,5,0,1,0,4,1,0,4,0,0,0,0
peg_138,Reference,2513,981,544,1,543,0,3,10,538,0,5,531,0,2,4,1
peg_138,HDR,2513,981,168,89,79,0,24,18,71,3,4,47,1,11,4,9
peg_139,Reference,50,14,5,0,5,0,0,0,5,0,0,5,0,0,0,0
peg_139,HDR,50,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_140,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_140,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_141,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_141,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_142,Reference,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_142,HDR,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_143,Reference,61,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_143,HDR,61,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_144,Reference,98,71,1,0,1,0,0,1,0,0,1,0,0,0,0,0
peg_144,HDR,98,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_145,Reference,907,823,2,0,2,0,2,2,2,0,0,0,0,0,0,2
peg_145,HDR,907,823,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_146,Reference,482,283,2,0,2,0,1,0,1,1,0,1,0,0,0,0
peg_146,HDR,482,283,1,0,1,0,0,1,1,0,0,0,0,0,1,0
peg_147,Reference,136,28,6,0,6,0,1,4,2,0,4,1,0,1,0,0
peg_147,HDR,136,28,3,0,3,0,0,3,0,0,3,0,0,0,0,0
peg_148,Reference,876,771,652,226,426,0,9,44,390,2,34,373,0,7,10,0
peg_148,HDR,876,771,2,1,1,0,1,0,1,0,0,0,0,1,0,0
peg_149,Reference,85,76,53,3,50,0,17,10,26,17,7,23,0,0,3,0
peg_149,HDR,85,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_150,Reference,87,81,57,1,56,0,4,1,51,4,1,51,0,0,0,0
peg_150,HDR,87,81,4,0,4,0,0,4,0,0,4,0,0,0,0,0
peg_151,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_151,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_152,Reference,5,2,2,0,2,0,0,0,2,0,0,2,0,0,0,0
peg_152,HDR,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_153,Reference,144,143,143,0,143,0,0,143,6,0,137,0,0,0,6,0
peg_153,HDR,144,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_154,Reference,14212,14100,13963,9013,4950,0,1532,8,4647,296,7,3410,0,1236,1,0
peg_154,HDR,14212,14100,95,74,21,0,3,13,6,2,13,5,0,1,0,0
peg_155,Reference,3440,2589,2564,1128,1436,0,209,4,1245,188,3,1223,0,21,1,0
peg_155,HDR,3440,2589,4,4,0,0,0,0,0,0,0,0,0,0,0,0
peg_156,Reference,2041,2028,2003,942,1061,0,2,6,1053,2,6,1053,0,0,0,0
peg_156,HDR,2041,2028,6,5,1,0,0,0,1,0,0,1,0,0,0,0
peg_157,Reference,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
peg_157,HDR,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_158,Reference,54,51,45,0,45,0,0,29,40,0,5,16,0,0,24,0
peg_158,HDR,54,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_159,Reference,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
peg_159,HDR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_160,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_160,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_161,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_161,HDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_162,Reference,8,8,8,0,8,0,0,7,2,0,6,1,0,0,1,0
peg_162,HDR,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_163,Reference,24,24,24,20,4,0,0,0,4,0,0,4,0,0,0,0
peg_163,HDR,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_164,Reference,40,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0
peg_164,HDR,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_165,Reference,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0
peg_165,HDR,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peg_166,Reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
